,rank,twitterName,type,posts,followers,avg. likes
0,1,BarackObama,male,16,133,16
1,2,elonmusk,male,23,129,23
2,3,justinbieber,male,31,113,31
3,4,Cristiano,male,3,107,3
4,5,realDonaldTrump,male,59,87,59
5,6,narendramodi,male,35,86,35
6,7,ArianaGrande,female,47,85,47
7,8,ladygaga,female,9,84,9
8,9,YouTube,community,51,78,51
9,10,TheEllenShow,female,23,77,1
10,11,KimKardashian,female,36,75,36
11,12,NASA,community,69,71,69
12,13,selenagomez,female,5,65,1
13,14,Twitter,community,15,65,15
14,15,BillGates,male,4,61,4
15,16,CNN,brand,398,61,398
16,17,nytimes,brand,500,55,500
17,18,imVkohli,male,2,53,2
18,19,ddlovato,female,17,53,17
19,20,PMOIndia,male,34,52,34
20,21,BBCBreaking,brand,38,51,38
21,22,jimmyfallon,male,14,51,1
22,23,SrBachchan,male,69,48,69
23,24,BTS_twt,N/A,12,48,12
24,25,ChampionsLeague,brand,87,47,87
25,26,FCBarcelona,brand,130,46,130
26,27,akshaykumar,male,41,45,41
27,28,espn,brand,136,45,136
28,29,BeingSalmanKhan,male,43,44,43
29,30,iamsrk,male,58,43,58
30,31,NBA,brand,321,42,321
31,32,KylieJenner,female,14,40,14
32,33,bts_bighit,N/A,10,40,1
33,34,sachin_rt,male,4,38,4
34,35,JoeBiden,male,8,37,8
35,36,wizkhalifa,male,51,36,51
36,37,premierleague,male,143,36,1
37,38,ManUtd,male,80,35,80
38,39,LilTunechi,male,2,35,2
39,40,instagram,male,15,33,1
40,41,POTUS,male,11,33,11
41,42,NFL,brand,252,32,252
42,43,AmitShah,male,19,32,19
43,44,iHrithik,male,6,32,6
44,45,Pink,female,8,31,8
45,46,khloekardashian,female,67,30,67
46,47,POTUS,male,5,29,5
47,48,SpaceX,brand,6,28,6
48,49,priyankachopra,female,22,27,22
49,50,NICKIMINAJ,female,44,27,44
50,51,deepikapadukone,female,665,27,665
51,52,Google,male,168,27,1
52,53,ArvindKejriwal,male,34,26,34
53,54,BIGHIT_MUSIC,brand,8,26,8
54,55,ShawnMendes,male,15,26,1
55,56,WhiteHouse,brand,24,26,24
56,57,Reuters,N/A,872,25,1
57,58,arrahman,male,6,24,6
58,59,ChelseaFC,brand,112,24,112
59,60,danieltosh,male,44,23,44
60,61,coldplay,brand,9,23,9
61,62,AnushkaSharma,female,4,23,4
62,63,LFC,brand,108,23,107
63,64,virendersehwag,male,12,23,12
64,65,RahulGandhi,male,6,22,6
65,66,ImRo45,male,2,21,2
66,67,aliaa08,female,5,21,1
67,68,netflix,brand,47,21,47
68,69,rashtrapatibhvn,male,12,21,12
69,70,VancityReynolds,male,3,21,3
70,71,Arsenal,brand,102,21,102
71,72,SnoopDogg,male,42,21,42
72,73,Rubiu5,N/A,25,20,25
73,74,ImRaina,male,7,20,7
74,75,BCCI,brand,824,20,823
75,76,WSJ,brand,399,20,399
76,77,ricky_martin,male,7,20,7
77,78,AnupamPKher,male,42,20,42
78,79,KamalaHarris,female,17,20,17
79,80,davidguetta,male,6,20,6
80,81,BJP4India,community,241,20,240
81,82,KapilSharmaK9,male,11,19,11
82,83,aajtak,brand,771,19,771
83,84,Benzema,male,3,19,3
84,85,Forbes,brand,459,18,459
85,86,ImranKhanPTI,male,8,18,8
86,87,MrBeast,N/A,6,18,6
87,88,myogiadityanath,male,16,18,1
88,89,ICC,community,111,18,111
89,90,RobertDowneyJr,male,0,18,0
90,91,ABC,male,407,17,407
91,92,MTV,brand,312,17,312
92,93,ndtv,brand,1,17,1
93,94,karanjohar,male,12,17,12
94,95,Marvel,male,64,17,64
95,96,TheRock,male,26,17,26
96,97,FLOTUS,female,1,16,1
97,98,realmadriden,male,60,16,60
98,99,UN,brand,89,16,89
99,100,ajaydevgn,male,3,16,3
100,101,AP,brand,344,16,344
101,102,Asli_Jacqueline,female,7,15,7
102,103,juniorbachchan,male,34,15,34
103,104,FortniteGame,brand,16,15,16
104,105,daddy_yankee,male,23,15,1
105,106,shahidkapoor,male,8,15,8
106,107,Diddy,female,421,15,1
107,108,ManCity,male,154,15,154
108,109,BBCNews,brand,515,15,515
109,110,kobebryant,male,1,15,1
110,111,SonuSood,male,14,14,14
111,112,TwitterSports,brand,20,14,20
112,113,RyanSeacrest,male,18,14,18
113,114,timesofindia,brand,862,14,862
114,115,ParineetiChopra,N/A,8,14,1
115,116,arunjaitley,male,3,14,3
116,117,cnni,brand,287,14,287
117,118,ShraddhaKapoor,female,5,14,5
118,119,RanveerOfficial,male,5,14,5
119,120,BigSean,male,21,14,21
120,121,JohnCena,male,7,14,7
121,122,nickjonas,male,6,14,6
122,123,BleacherReport,N/A,163,13,163
123,124,TwitterVideo,brand,8,13,8
124,125,johnlegend,male,16,13,16
125,126,weareoneEXO,male,4,13,4
126,127,CHANEL,brand,4,13,4
127,128,AOC,female,14,13,14
128,129,AlMosahf,N/A,580,13,580
129,130,ABPNews,brand,477,13,477
130,131,urstrulyMahesh,male,2,13,2
131,132,sonamakapoor,female,20,13,20
132,133,Camila_Cabello,female,14,13,14
133,134,WWE,community,321,13,321
134,135,rogerfederer,male,2,12,2
135,136,KrisJenner,female,14,12,14
136,137,smritiirani,female,62,12,62
137,138,GalatasaraySK,male,90,12,90
138,139,SenSanders,male,23,12,23
139,140,FIFAWorldCup,community,33,12,33
140,141,TXT_members,N/A,2,12,1
141,142,Varun_dvn,male,10,12,10
142,143,WHO,male,73,12,73
143,144,enews,N/A,311,12,311
144,145,TheOnion,fanpage,96,11,96
145,146,harbhajan_singh,male,10,11,10
146,147,PiyushGoyal,male,43,11,43
147,148,TwitterMusic,brand,20,11,20
148,149,EuropaLeague,male,38,11,38
149,150,SMTOWNGLOBAL,male,13,11,13
150,151,Lakers,male,78,11,78
151,152,VP,male,6,11,6
152,153,Riteishd,male,29,11,29
153,154,rustyrockets,male,17,11,17
154,155,Starbucks,brand,266,11,266
155,156,HHShkMohd,male,7,11,7
156,157,SimonCowell,male,1,11,1
157,158,ashwinravi99,male,6,10,6
158,159,Swamy39,male,111,10,111
159,160,guardian,male,809,10,809
160,161,yousuck2020,N/A,6,10,1
161,162,SkySportsPL,male,207,10,207
162,163,realmadridarab,male,47,10,47
163,164,TXT_bighit,male,3,10,3
164,165,lemondefr,male,432,10,432
165,166,IvankaTrump,female,18,10,18
166,167,GiGiHadid,male,16,10,16
167,168,dhanushkraja,male,8,10,1
168,169,NCTsmtown,male,7,10,7
169,170,VP,male,9,10,9
170,171,TimesNow,brand,0,10,0
171,172,AppleMusic,brand,38,10,38
172,173,TechCrunch,brand,250,10,250
173,174,DUALIPA,female,1,10,1
174,175,Fenerbahce,N/A,74,10,73
175,176,SidMalhotra,male,4,10,4
176,177,azizansari,male,7,10,7
177,178,JoelOsteen,male,20,10,20
178,179,BBCSport,male,539,10,1
179,180,Twitch,community,23,9,23
180,181,joejonas,male,11,9,11
181,182,muftimenk,N/A,12,9,12
182,183,davido,N/A,52,9,1
183,184,Nike,brand,38,9,38
184,185,DonaldJTrumpJr,male,45,9,45
185,186,IGN,male,182,9,182
186,187,Ubisoft,male,43,9,43
187,188,lopezobrador_,N/A,6,9,6
188,189,EASPORTSFIFA,female,271,9,271
189,190,DaniAlvesD2,male,8,9,8
190,191,KingSalman,N/A,344,9,344
191,192,ChennaiIPL,community,44,9,44
192,193,UNICEF,male,56,9,56
193,194,MLB,male,201,9,201
194,195,Discovery,male,54,9,54
195,196,LouisVuitton,male,7,9,1
196,197,DjokerNole,male,4,9,4
197,198,INCIndia,brand,126,9,126
198,199,Dior,brand,7,9,7
199,200,Caradelevingne,female,7,9,7
